OFF_index,OFF_SeasonID,OFF_Total Points Per Game,OFF_Total Points,OFF_Total Touchdowns,OFF_Total 1st downs,OFF_Rushing 1st downs,OFF_Passing 1st downs,OFF_1st downs by penalty,OFF_3rd down efficiency,OFF_3rd down %,OFF_4th down efficiency,OFF_4th down %,OFF_Comp-Att,OFF_Net Passing Yards,OFF_Yards Per Pass Attempt,OFF_Net Passing Yards Per Game,OFF_Passing Touchdowns,OFF_Interceptions,OFF_Sacks-Yards Lost,OFF_Rushing Attempts,OFF_Rushing Yards,OFF_Yards Per Rush Attempt,OFF_Rushing Yards Per Game,OFF_Rushing Touchdowns,OFF_Total Offensive Plays,OFF_Total Yards,OFF_Yards Per Game,OFF_Kickoffs: Total,OFF_Average Kickoff Return Yards,OFF_Punt: Total,OFF_Average Punt Return Yards,OFF_INT: Total,OFF_Average Interception Yards,OFF_Net Average Punt Yards,OFF_Punt: Total Yards,OFF_FG: Good-Attempts,OFF_Touchback Percentage,OFF_Total-Yards,OFF_Avg. Per Game (YDS),OFF_Possession Time Seconds,OFF_Fumbles-Lost,OFF_Turnover Ratio,OFF_Games,OFF_Year,DEF_index,DEF_Total Points Per Game,DEF_Total Points,DEF_Total Touchdowns,DEF_Total 1st downs,DEF_Rushing 1st downs,DEF_Passing 1st downs,DEF_1st downs by penalty,DEF_3rd down efficiency,DEF_3rd down %,DEF_4th down efficiency,DEF_4th down %,DEF_Comp-Att,DEF_Net Passing Yards,DEF_Yards Per Pass Attempt,DEF_Net Passing Yards Per Game,DEF_Passing Touchdowns,DEF_Interceptions,DEF_Sacks-Yards Lost,DEF_Rushing Attempts,DEF_Rushing Yards,DEF_Yards Per Rush Attempt,DEF_Rushing Yards Per Game,DEF_Rushing Touchdowns,DEF_Total Offensive Plays,DEF_Total Yards,DEF_Yards Per Game,DEF_Kickoffs: Total,DEF_Average Kickoff Return Yards,DEF_Punt: Total,DEF_Average Punt Return Yards,DEF_INT: Total,DEF_Average Interception Yards,DEF_Net Average Punt Yards,DEF_Punt: Total Yards,DEF_FG: Good-Attempts,DEF_Touchback Percentage,DEF_Total-Yards,DEF_Avg. Per Game (YDS),DEF_Possession Time Seconds,DEF_Fumbles-Lost,DEF_Turnover Ratio,DEF_Games
918,Offense--nyj-2007,16.8,268,26,286,92,173,21,85-226,37.61,10-21,47.62,310-512,3014,6.5,188.4,15,19,53-316,446,1701,3.8,106.3,6,1011,5031,314.4,"51-1,270",24.9,20-183,8.4,15-110,7.3,39.4,"71-3,063",29-36,14,63-486,30,29:06,19-4,0,16,2007,919,16.9,355,38,315,128,174,13,89-211,42.18,8-10,80.00,289-470,3154,7.2,197.1,18,15,29-208,517,2156,4.2,134.8,14,1016,5518,344.9,"74-1,695",22.9,32-268,9.2,19-196,10.3,40.6,"67-2,901",29-32,11,93-761,47.563,31:59,14-6,0,16
920,Offense--nyj-2008,25.3,405,48,308,94,186,28,81-197,41.12,9-16,56.25,347-529,3303,6.6,206.4,22,23,30-213,422,2004,4.7,125.3,20,981,5520,345.0,"73-1,568",21.5,29-303,9.9,14-282,20.1,38.0,"58-2,490",24-29,8,77-569,35,31:06,22-7,0,16,2008,921,17.8,356,40,315,86,209,20,81-210,38.57,13-18,72.22,368-572,3752,7.0,234.5,23,14,41-253,407,1518,3.7,94.9,10,1020,5523,345.2,"61-1,407",23.1,29-288,10.4,23-351,15.3,39.0,"69-2,992",25-28,18,93-663,41.438,30:09,36-16,0,16
922,Offense--nyj-2009,21.8,348,37,280,132,131,17,86-232,37.07,15-20,75.00,210-393,2380,6.6,148.8,12,21,30-216,607,2756,4.5,172.3,21,1030,5352,334.5,"70-1,685",24.1,50-457,8.8,17-247,14.5,39.0,"80-3,357",30-36,12,88-677,42,32:07,23-9,0,16,2009,923,11.2,236,26,237,87,128,22,69-219,31.51,7-19,36.84,259-501,2459,5.4,153.7,8,17,32-245,420,1578,3.8,98.6,11,953,4282,267.6,"44-1,074",24.4,27-238,9.1,21-309,14.7,39.0,"98-4,277",19-23,22,87-680,42.5,28:38,21-10,0,16
924,Offense--nyj-2010,22.9,367,39,307,118,171,18,93-235,39.57,5-14,35.71,288-525,3242,6.5,202.6,20,14,28-178,534,2374,4.4,148.4,14,1087,5794,362.1,"73-1,428",19.6,56-529,11.1,12-214,17.8,39.1,"84-3,581",30-39,9,103-934,58,32:37,22-7,0,16,2010,925,14.5,304,36,272,70,169,33,81-219,36.99,4-6,66.67,269-531,3210,6.5,200.6,24,12,40-244,408,1454,3.6,90.9,11,979,4908,306.8,"63-1,588",25.2,27-299,9.4,14-134,9.6,40.2,"96-4,388",18-23,10,74-679,42.438,28:26,23-15,0,16
926,Offense--nyj-2011,23.4,375,45,301,92,173,36,74-213,34.74,4-11,36.36,310-547,3297,6.5,206.1,26,18,40-245,443,1692,3.8,105.8,14,1030,5234,327.1,"61-1,291",21.2,44-426,7.5,19-378,19.9,40.1,"92-3,926",19-25,21,102-849,53,30:49,24-10,0,16,2011,927,18.2,363,39,272,83,167,22,69-211,32.70,1-10,10.00,275-507,3216,6.7,201.0,15,19,35-198,451,1777,3.9,111.1,17,993,5191,324.4,"62-1,633",26.3,32-241,9.7,18-382,21.2,40.8,"91-4,141",29-30,25,110-966,60.375,29:11,25-10,0,16
928,Offense--nyj-2012,17.4,279,31,299,102,162,35,80-217,36.87,7-14,50.00,272-493,2891,6.4,180.7,14,19,47-287,494,1896,3.8,118.5,12,1034,5074,317.1,"54-1,184",21.9,23-238,12.1,11-117,10.6,40.4,"84-3,848",21-27,17,83-708,44,30:26,32-14,0,16,2012,929,17.8,373,44,293,96,161,36,84-226,37.17,12-15,80.00,266-494,3036,6.5,189.8,20,11,30-170,495,2138,4.3,133.6,17,1019,5344,334.0,"50-1,308",26.2,31-375,10.3,19-264,13.9,41.7,"89-3,947",22-31,34,109-805,50.313,30:35,16-11,0,16
930,Offense--nyj-2013,18.0,288,27,280,105,154,21,90-231,38.96,1-8,12.50,266-480,2932,6.8,183.3,13,22,47-338,493,2158,4.4,134.9,12,1020,5428,339.3,42-938,22.3,25-224,11.3,13-167,12.8,39.7,"88-4,018",33-36,41,108-837,52,30:13,12-6,0,16,2013,931,18.4,387,41,293,68,198,27,85-231,36.80,7-18,38.89,345-586,3947,7.1,246.7,26,13,41-242,421,1412,3.4,88.3,9,1048,5601,350.1,"45-1,021",22.7,43-488,9.0,22-411,18.7,42.1,"80-3,679",33-37,48,92-833,52.063,30:23,17-1,0,16
932,Offense--nyj-2014,17.7,283,27,289,112,154,23,91-234,38.89,9-16,56.25,287-498,2946,6.4,184.1,16,15,47-260,507,2280,4.5,142.5,11,1052,5486,342.9,"51-1,110",21.8,43-273,10.0,6-36,6.0,42.2,"78-3,580",32-39,28,109-932,58,31:01,24-9,-11,16,2014,933,19.0,399,46,300,74,194,32,99-219,45.21,0-4,0.00,345-538,3746,7.5,234.1,31,6,45-310,393,1489,3.8,93.1,10,976,5545,346.6,"58-1,342",23.1,25-250,6.3,15-278,18.5,43.0,"81-3,757",26-32,29,91-780,48.75,29:16,14-4,11,16
934,Offense--nyj-2015,24.2,387,44,329,99,210,20,93-229,40.61,6-14,42.86,362-604,4057,6.9,253.6,33,16,22-113,448,1868,4.2,116.8,11,1074,6038,377.4,"49-1,168",23.8,49-422,12.7,18-191,10.6,37.2,"79-3,448",27-33,40,96-787,49,31:20,16-8,6,16,2015,935,15.7,314,34,271,62,185,24,77-232,33.19,13-23,56.52,343-601,3763,6.7,235.2,25,18,39-278,373,1335,3.6,83.4,4,1013,5376,336.0,37-771,20.8,37-470,8.6,16-102,6.4,42.1,"86-4,041",26-29,46,90-767,47.938,29:21,18-10,-6,16
936,Offense--nyj-2016,16.8,269,27,291,97,166,28,76-210,36.19,8-19,42.11,311-550,3466,6.6,216.6,16,25,35-179,418,1802,4.3,112.6,10,1003,5447,340.4,29-665,22.9,27-149,9.1,8-141,17.6,38.4,"75-3,236",27-31,56,93-837,52,30:41,22-9,-20,16,2016,937,20.5,409,47,318,86,203,29,84-210,40.00,2-10,20.00,347-545,3898,7.5,243.6,30,8,27-179,428,1581,3.7,98.8,11,1000,5658,353.6,43-941,21.9,35-319,5.5,25-198,7.9,42.2,"72-3,185",27-31,47,74-650,40.625,29:42,20-5,20,16
938,Offense--nyj-2017,18.6,298,32,269,77,157,35,81-228,35.53,7-13,53.85,323-510,3182,6.9,198.9,19,12,47-319,427,1702,4.0,106.4,13,984,5203,325.2,23-459,20.0,38-171,10.0,11-151,13.7,41.4,"94-4,378",25-30,63,"119-1,035",64,30:12,25-12,-4,16,2017,939,19.1,382,46,329,88,191,50,82-221,37.10,5-11,45.46,329-558,3749,7.0,234.3,30,11,28-155,466,1887,4.0,117.9,13,1052,5791,361.9,34-683,20.1,49-491,4.5,12-126,10.5,43.8,"87-3,979",21-29,54,114-981,61.313,30:22,19-9,4,16
940,Offense--nyj-2018,20.8,333,34,258,84,157,17,69-214,32.24,11-22,50.00,299-524,3165,6.5,197.8,18,19,37-239,410,1622,4.0,101.4,11,971,5026,314.1,23-539,23.4,25-324,7.6,13-318,24.5,42.0,"82-3,763",33-36,72,114-948,59,29:10,20-11,-10,16,2018,941,21.0,441,49,343,104,201,38,72-213,33.80,9-14,64.29,367-582,4065,7.5,254.1,29,13,39-293,440,2021,4.6,126.3,16,1061,6379,398.7,"46-1,238",26.9,42-318,13.0,19-271,14.3,39.1,"78-3,409",33-39,48,95-817,51.063,31:03,17-5,10,16
942,Offense--nyj-2019,17.3,276,31,253,61,162,30,65-212,30.66,7-19,36.84,323-521,3111,6.6,194.4,19,16,52-332,383,1257,3.3,78.6,6,956,4700,293.8,33-636,19.3,21-240,7.0,12-138,11.5,42.3,"87-3,991",19-28,47,"115-1,105",69,28:52,18-9,-4,16,2019,943,22.1,353,39,302,75,187,40,88-225,39.11,3-12,25.00,363-585,3779,6.8,236.2,25,12,35-222,417,1391,3.3,86.9,12,1037,5392,337.0,37-807,21.8,44-309,11.4,16-232,14.5,40.2,"81-3,534",28-34,52,107-902,56.375,31:07,25-7,4,16
944,Offense--nyj-2020,15.2,243,26,269,94,146,29,70-206,33.98,7-18,38.89,292-499,2796,6.2,174.8,16,14,43-319,406,1683,4.1,105.2,9,948,4798,299.9,27-670,24.8,10-86,11.7,10-134,13.4,38.4,"82-3,598",21-28,54,101-952,59,27:53,8-5,0,16,2020,945,28.6,457,53,381,100,235,46,90-202,44.55,5-12,41.67,418-605,4409,7.6,275.6,34,10,31-186,445,1792,4.0,112.0,16,1081,6387,399.2,41-811,19.8,38-446,8.6,14-121,8.6,40.5,"52-2,272",29-35,56,99-899,56.188,32:06,21-9,0,16
946,Offense--nyj-2021,18.2,310,36,310,87,195,28,77-212,36.32,14-29,48.28,357-603,3541,6.6,208.3,20,20,53-418,380,1667,4.4,98.1,14,1036,5626,330.9,"50-1,371",27.4,17-206,10.6,7-114,16.3,41.8,"70-3,274",21-27,66,102-859,50,27:50,14-7,-13,17,2021,947,29.6,504,56,401,129,234,38,99-223,44.40,13-21,61.91,401-587,4409,8.0,259.4,28,7,33-273,525,2351,4.5,138.3,28,1145,7033,413.7,22-392,17.8,29-306,12.1,20-264,13.2,38.5,"59-2,475",36-39,53,84-814,47.882,32:43,26-7,307,17
948,Offense--nyj-2022,17.4,296,29,294,79,191,24,83-240,34.58,11-28,39.29,357-627,3723,6.4,219.0,15,14,42-317,405,1686,4.2,99.2,13,1074,5726,336.8,31-666,21.5,21-240,11.3,12-69,5.8,42.5,"83-3,889",30-37,79,91-866,50,28:44,21-9,-7,17,2022,949,18.6,316,31,310,117,166,27,93-244,38.12,11-26,42.31,347-556,3220,6.3,189.4,15,12,45-306,492,2068,4.2,121.6,14,1093,5594,329.1,12-251,20.9,32-363,11.4,14-302,21.6,41.4,"75-3,428",33-43,58,90-707,41.588,31:15,19-4,316,17
950,Offense--phi-2004,24.1,386,44,301,87,188,26,72-195,36.92,0-4,0.00,336-547,3979,7.7,248.7,32,11,37-229,376,1639,4.4,102.4,10,960,5847,365.4,"73-1,693",23.2,41-377,6.5,17-287,16.9,39.0,"73-3,068",27-32,14,124-952,59,28:43,17-10,0,16,2004,951,12.4,260,30,299,101,165,33,82-229,35.81,9-19,47.37,334-550,3212,6.3,200.8,16,17,47-263,442,1903,4.3,118.9,13,1039,5378,336.1,"56-1,214",21.7,34-221,9.2,11-140,12.7,38.7,"88-3,785",17-24,5,"119-1,001",62.563,31:53,29-7,0,16
952,Offense--phi-2005,20.7,310,35,282,73,182,27,72-220,32.73,3-12,25.00,337-620,3677,6.3,229.8,21,20,42-226,365,1432,3.9,89.5,11,1027,5335,333.4,"67-1,416",21.1,53-448,5.4,17-195,11.5,38.0,"99-4,072",22-29,7,"134-1,130",70,28:41,34-12,0,16,2005,953,16.5,346,40,290,91,171,28,80-233,34.34,7-11,63.64,297-503,3323,7.0,207.7,24,17,29-184,506,1883,3.7,117.7,15,1038,5390,336.9,"71-1,578",22.2,57-310,8.5,20-339,17.0,37.6,"104-4,361",22-27,11,112-910,56.875,32:00,25-7,0,16
954,Offense--phi-2006,24.9,398,49,312,106,189,17,88-209,42.11,5-11,45.46,323-544,4119,7.9,257.4,31,9,28-190,416,1984,4.8,124.0,13,988,6293,393.3,"71-1,647",23.2,36-339,9.3,19-428,22.5,37.8,"78-3,326",18-23,13,112-983,61,28:58,24-11,0,16,2006,955,16.4,328,36,314,126,154,34,83-222,37.39,10-21,47.62,309-525,3067,6.4,191.7,17,19,40-300,489,2182,4.5,136.4,12,1054,5549,346.8,"58-1,204",20.8,41-380,9.4,9-250,27.8,39.4,"82-3,566",26-28,18,96-807,50.438,31:45,23-9,0,16
956,Offense--phi-2007,21.0,336,38,323,118,186,19,97-229,42.36,9-15,60.00,350-577,3755,6.9,234.7,24,15,49-250,421,1974,4.7,123.4,12,1047,5979,373.7,"69-1,536",22.3,42-340,11.4,11-111,10.1,36.4,"73-3,066",24-32,8,83-649,40,30:56,22-8,0,16,2007,957,14.3,300,30,279,80,177,22,81-218,37.16,3-13,23.08,312-539,3449,6.9,215.6,16,11,37-244,403,1533,3.8,95.8,10,979,5226,326.6,"71-1,539",21.7,36-409,8.1,15-198,13.2,37.1,"76-3,162",31-38,4,81-616,38.5,29:03,15-8,0,16
958,Offense--phi-2008,25.9,414,45,318,94,204,20,93-225,41.33,4-9,44.44,362-606,3911,6.7,244.4,23,16,23-149,427,1697,4.0,106.1,15,1056,5757,359.8,"75-1,698",22.6,52-446,7.2,15-279,18.6,39.5,"77-3,334",33-40,18,74-635,39,31:24,16-7,0,16,2008,959,13.8,289,31,248,79,144,25,73-227,32.16,5-14,35.71,284-525,2913,6.1,182.1,19,15,48-312,421,1476,3.5,92.3,7,994,4701,293.8,"60-1,411",23.5,41-296,8.6,16-434,27.1,38.1,"101-4,294",24-28,8,80-593,37.063,29:31,25-12,0,16
960,Offense--phi-2009,26.7,427,47,290,87,182,21,75-207,36.23,6-14,42.86,335-553,4089,7.9,255.6,27,13,38-291,384,1637,4.3,102.3,14,975,6017,376.1,"81-1,907",23.5,35-471,5.9,25-370,14.8,39.4,"76-3,222",32-37,12,115-951,59,28:14,23-7,0,16,2009,961,16.9,337,39,295,81,179,35,73-221,33.03,17-30,56.67,354-580,3462,6.5,216.4,27,25,44-316,413,1675,4.1,104.7,11,1037,5453,340.8,"58-1,191",20.5,39-229,13.5,13-131,10.1,39.2,"80-3,604",21-24,18,104-789,49.313,31:45,24-8,0,16
962,Offense--phi-2010,27.4,439,49,322,116,189,17,85-214,39.72,9-13,69.23,348-561,3906,7.5,244.1,28,13,49-309,428,2324,5.4,145.3,18,1038,6539,408.7,"69-1,502",21.8,38-404,9.1,23-182,7.9,39.5,"73-3,195",32-38,24,"129-1,101",68,31:14,30-10,0,16,2010,963,18.0,377,46,309,91,185,33,80-209,38.28,5-12,41.67,309-536,3469,7.0,216.8,31,23,39-292,423,1766,4.2,110.4,12,998,5527,345.4,"62-1,272",20.5,34-309,10.6,13-169,13.0,39.0,"82-3,599",18-21,14,87-724,45.25,28:45,18-10,0,16
964,Offense--phi-2011,24.8,396,46,356,134,197,25,85-205,41.46,7-15,46.67,330-554,4110,7.7,256.9,22,25,32-166,450,2276,5.1,142.3,20,1036,6552,409.5,"51-1,178",23.1,30-212,5.7,15-192,12.8,40.2,"66-2,830",24-27,38,107-853,53,31:20,22-9,0,16,2011,965,16.4,328,40,289,84,173,32,75-211,35.55,7-17,41.18,301-518,3397,7.2,212.3,27,15,50-316,414,1801,4.4,112.6,11,982,5514,344.6,39-815,20.9,31-176,7.1,25-368,14.7,40.7,"85-3,673",16-24,43,97-813,50.813,28:34,17-9,0,16
966,Offense--phi-2012,17.5,280,29,332,111,190,31,83-222,37.39,14-24,58.33,367-618,3791,6.6,236.9,18,15,48-284,413,1874,4.5,117.1,10,1079,5949,371.8,"41-1,012",24.7,30-310,13.6,8-31,3.9,38.8,"71-3,336",27-31,37,98-813,50,29:43,36-17,0,16,2012,967,21.1,444,52,317,108,178,31,83-203,40.89,2-10,20.00,292-485,3470,7.6,216.9,33,8,30-198,479,2021,4.2,126.3,11,994,5689,355.6,"60-1,259",21.0,40-542,10.3,15-391,26.1,39.7,"77-3,410",27-29,35,118-996,62.25,30:31,20-4,0,16
968,Offense--phi-2013,27.6,442,53,355,133,197,25,83-213,38.97,7-14,50.00,310-508,4110,8.7,256.9,32,9,46-296,500,2566,5.1,160.4,19,1054,6972,435.8,"52-1,229",23.6,26-171,8.0,19-294,15.5,41.7,"82-3,681",23-28,41,95-846,52,26:23,17-8,0,16,2013,969,18.2,382,43,368,100,239,29,93-231,40.26,8-20,40.00,408-670,4636,7.3,289.8,25,19,37-271,443,1668,3.8,104.3,12,1150,6575,410.9,37-790,21.4,28-223,6.6,9-128,14.2,40.2,"74-3,146",27-32,55,106-855,53.438,33:36,27-10,0,16
970,Offense--phi-2014,29.6,474,54,356,109,218,29,103-237,43.46,7-11,63.64,384-621,4356,7.4,272.3,27,21,32-225,474,1992,4.2,124.5,16,1127,6573,410.8,"52-1,183",22.8,41-531,8.2,12-145,12.1,40.7,"76-3,331",32-36,47,115-995,62,26:40,24-15,-8,16,2014,971,19.0,400,48,338,88,211,39,88-232,37.93,3-12,25.00,345-591,4238,7.8,264.9,30,12,49-357,473,1771,3.7,110.7,14,1113,6366,397.9,32-874,27.3,29-238,13.0,21-257,12.2,37.9,"87-3,984",22-27,59,"121-1,089",68.063,33:19,27-15,8,16
972,Offense--phi-2015,23.6,377,45,339,110,193,36,91-230,39.57,8-16,50.00,405-623,4087,7.0,255.4,23,18,37-254,442,1743,3.9,108.9,15,1102,6084,380.3,34-705,20.7,39-443,5.1,15-280,18.7,43.4,"86-4,038",21-26,52,104-819,51,26:06,24-13,-5,16,2015,973,21.5,430,50,365,100,239,26,99-231,42.86,6-9,66.67,394-633,4273,7.1,267.1,36,15,37-243,478,2153,4.5,134.6,10,1148,6669,416.8,27-565,20.9,42-215,11.4,18-141,7.8,40.3,"88-4,030",27-27,68,"123-1,051",65.688,34:08,21-9,5,16
974,Offense--phi-2016,22.8,365,37,333,114,192,27,85-224,37.95,13-27,48.15,380-609,3585,6.2,224.1,16,14,33-213,438,1813,4.1,113.3,16,1080,5611,350.7,38-712,18.7,19-246,8.1,16-207,12.9,42.6,"63-2,888",35-41,53,113-945,59,32:31,23-6,6,16,2016,975,16.6,331,36,300,89,177,34,82-205,40.00,8-18,44.44,333-553,3832,7.3,239.5,25,16,34-207,391,1652,4.2,103.3,10,978,5691,355.7,35-956,27.3,25-202,12.9,14-126,9.0,42.4,"61-2,873",28-33,54,99-837,52.313,27:56,21-9,-6,16
976,Offense--phi-2017,28.6,457,53,338,108,193,37,96-230,41.74,17-26,65.39,341-564,3737,7.0,233.6,38,9,36-230,473,2115,4.5,132.2,9,1073,6082,380.1,"47-1,015",21.6,29-259,6.8,19-278,14.6,42.1,"67-3,033",29-34,48,116-962,60,32:41,23-11,11,16,2017,977,14.0,295,34,272,62,177,33,66-205,32.20,4-18,22.22,363-601,3637,6.5,227.3,24,19,38-246,337,1267,3.8,79.2,7,976,5150,321.9,18-354,19.7,25-171,8.9,9-43,4.8,41.8,"82-3,725",20-26,71,101-917,57.313,27:18,18-10,-11,16
978,Offense--phi-2018,22.9,367,41,346,94,221,31,84-205,40.98,14-23,60.87,422-599,4275,7.6,267.2,29,11,40-249,398,1570,3.9,98.1,12,1037,6094,380.9,24-540,22.5,33-216,6.3,10-139,13.9,45.0,"61-2,937",26-31,70,100-852,53,32:38,27-12,-6,16,2018,979,17.4,348,37,308,71,215,22,71-201,35.32,11-19,57.90,417-626,4308,7.4,269.3,22,10,44-311,332,1551,4.7,96.9,14,1002,6170,385.6,33-725,22.0,31-194,6.5,11-153,13.9,42.8,"65-2,999",32-37,60,115-995,62.188,28:28,19-5,6,16
980,Offense--phi-2019,24.1,385,46,354,104,215,35,104-229,45.42,8-24,33.33,391-613,3833,6.6,239.6,27,8,37-230,454,1939,4.3,121.2,16,1104,6002,375.1,27-643,23.8,27-160,6.5,11-159,14.5,43.5,"71-3,292",22-26,64,100-836,52,33:06,29-15,-3,16,2019,981,22.1,354,41,289,76,185,28,70-205,34.15,11-18,61.11,348-571,3865,7.2,241.6,27,11,43-271,353,1442,4.1,90.1,13,967,5578,348.6,29-653,22.5,32-207,5.9,8-36,4.5,42.8,"86-3,840",23-27,59,115-959,59.938,27:12,19-8,3,16
982,Offense--phi-2020,20.8,332,42,336,114,177,45,82-220,37.27,15-35,42.86,334-598,3327,6.2,207.9,22,20,65-401,403,2027,5.0,126.7,16,1066,5755,359.7,26-581,22.3,26-230,6.4,8-101,12.6,42.2,"73-3,395",14-19,61,107-853,53,29:15,29-9,-10,16,2020,983,26.0,416,48,340,98,209,33,80-211,37.92,7-18,38.89,364-530,3798,7.8,237.4,27,8,49-324,481,2012,4.2,125.8,20,1060,6134,383.4,31-648,20.9,43-274,8.8,20-132,6.6,42.8,"71-3,271",27-32,62,"112-1,036",64.75,31:21,19-11,10,16
984,Offense--phi-2021,26.1,444,50,352,163,167,22,101-221,45.70,11-24,45.83,307-494,3404,7.3,200.2,20,10,31-181,550,2715,4.9,159.7,25,1075,6300,370.6,34-630,18.5,33-239,9.4,12-142,11.8,39.8,"55-2,416",30-33,63,107-842,49,29:55,22-6,0,17,2021,985,22.6,385,47,358,115,208,35,93-217,42.86,14-29,48.28,409-589,3756,6.8,220.9,28,12,29-220,458,1834,4.0,107.9,18,1076,5810,341.8,34-888,26.1,24-225,7.2,10-107,10.7,39.8,"62-2,744",21-24,56,92-824,48.471,30:04,17-4,286,17
986,Offense--phi-2022,28.1,477,59,385,161,195,29,102-222,45.95,22-32,68.75,350-536,4105,8.1,241.5,25,9,44-259,544,2509,4.6,147.6,32,1124,6873,404.3,30-663,22.1,35-323,8.1,17-186,10.9,40.1,"55-2,448",22-25,69,90-682,40,30:33,23-10,8,17,2022,987,20.2,344,40,325,115,186,24,86-223,38.57,15-24,62.50,350-556,3057,6.4,179.8,22,17,70-491,446,2068,4.6,121.6,15,1072,5616,330.4,30-784,26.1,25-203,9.2,9-110,12.2,44.5,"73-3,569",22-25,50,95-798,46.941,29:27,22-10,289,17
988,Offense--pit-2004,23.1,370,41,310,134,147,29,94-219,42.92,7-12,58.33,228-358,2720,8.3,170.0,20,13,36-250,618,2464,4.0,154.0,16,1012,5434,339.6,"74-1,595",21.6,44-365,7.4,19-293,15.4,39.2,"67-2,879",28-33,8,99-837,52,33:59,20-8,0,16,2004,989,12.0,251,26,248,79,146,23,63-193,32.64,7-13,53.85,269-484,2835,6.3,177.2,14,19,41-225,357,1299,3.6,81.2,8,882,4359,272.4,"62-1,335",21.5,34-252,8.3,13-190,14.6,38.1,"79-3,375",23-27,3,104-875,54.688,26:00,28-11,0,16
990,Offense--pit-2005,24.3,389,45,297,120,144,33,68-192,35.42,5-12,41.67,228-379,2926,8.2,182.9,21,14,32-178,549,2223,4.0,138.9,21,960,5327,332.9,"77-1,685",21.9,46-470,9.1,15-179,11.9,36.8,"69-2,875",24-29,6,99-876,54,31:44,20-6,0,16,2005,991,12.3,258,27,275,75,179,21,92-232,39.66,6-17,35.29,315-549,3168,6.3,198.0,15,15,47-312,402,1376,3.4,86.0,10,998,4856,303.5,"56-1,208",21.6,37-336,10.2,14-194,13.9,37.4,"80-3,463",24-30,9,"120-1,031",64.438,29:09,29-12,0,16
992,Offense--pit-2006,25.2,353,42,327,100,201,26,93-217,42.86,10-21,47.62,312-523,3733,7.7,233.3,23,23,49-293,469,1992,4.2,124.5,16,1041,6018,376.1,"70-1,570",22.4,34-285,5.8,20-272,13.6,38.0,"65-2,687",20-27,5,69-611,38,31:29,27-11,0,16,2006,993,13.3,279,33,269,72,176,21,86-219,39.27,6-12,50.00,319-529,3393,6.8,212.1,21,20,39-226,408,1412,3.5,88.3,9,976,5031,314.4,"55-1,214",22.1,38-219,8.4,23-441,19.2,41.0,"85-3,769",21-27,21,104-862,53.875,29:02,15-9,0,16
994,Offense--pit-2007,24.6,393,46,298,108,179,11,103-220,46.82,7-13,53.85,282-442,3071,7.7,191.9,34,14,47-347,511,2168,4.2,135.5,9,1000,5586,349.1,"73-1,647",22.6,39-238,8.6,11-234,21.3,38.4,"68-2,880",23-25,12,80-651,40,33:28,21-6,0,16,2007,995,13.5,269,31,249,74,158,17,87-215,40.47,6-19,31.58,292-536,2824,5.7,176.5,22,11,36-243,361,1438,4.0,89.9,6,933,4505,281.6,"52-1,145",22.0,31-266,6.1,14-110,7.9,40.1,"82-3,525",18-22,10,73-556,34.75,26:50,28-12,0,16
996,Offense--pit-2008,21.7,347,38,290,93,179,18,92-224,41.07,3-12,25.00,303-506,3301,7.1,206.3,19,15,49-306,460,1690,3.7,105.6,16,1015,5297,331.1,"71-1,357",19.1,41-247,6.2,20-290,14.5,36.7,"78-3,107",27-31,11,95-812,50,31:41,26-9,0,16,2008,997,10.4,219,21,240,73,149,18,71-226,31.42,10-21,47.62,301-533,2511,5.4,156.9,12,20,51-350,390,1284,3.3,80.3,7,974,4145,259.1,"50-1,013",20.3,40-247,6.0,15-234,15.6,40.2,"90-3,868",24-27,15,91-801,50.063,28:41,20-7,0,16
998,Offense--pit-2009,23.0,368,41,331,96,210,25,80-203,39.41,8-12,66.67,351-536,4148,8.4,259.3,28,14,50-348,428,1793,4.2,112.1,10,1014,6289,393.1,"74-1,795",24.3,36-290,9.8,12-189,15.8,38.2,"72-3,074",27-31,4,85-769,48,32:51,21-9,0,16,2009,999,15.4,324,37,274,70,186,18,96-227,42.29,7-10,70.00,319-548,3447,6.9,215.4,22,12,47-314,372,1438,3.9,89.9,7,967,5199,324.9,"66-1,581",24.0,33-325,8.1,14-398,28.4,39.5,"86-3,684",22-29,8,102-903,56.438,28:21,21-10,0,16
1000,Offense--pit-2010,23.4,375,41,295,106,175,14,94-218,43.12,2-5,40.00,298-479,3601,8.1,225.1,22,9,43-289,471,1924,4.1,120.3,15,993,5814,363.4,"77-1,540",20.0,37-226,9.2,21-248,11.8,40.3,"74-3,276",29-37,8,100-903,56,32:24,22-8,0,16,2010,1001,11.0,232,22,272,61,182,29,70-209,33.49,10-16,62.50,363-593,3425,6.3,214.1,15,21,48-319,333,1004,3.0,62.8,5,974,4748,296.8,"49-1,153",23.5,32-294,6.1,9-122,13.6,38.1,"80-3,275",26-30,18,86-716,44.75,28:33,26-10,0,16
